ID_Quete,ID_Competence,Titre,XP_Recompense,Statut,Type,Date_Creation,Date_Completion
Q1,MAN,V1 du RPG de la vie,700,Terminée,Principale,05/04/2026,05/04/2026
Q2,BIB,V1 du RPG de la vie,1100,Terminée,Secondaire,05/04/2026,05/04/2026
Q3,SYN,V1 du RPG de la vie,800,Terminée,Secondaire,05/04/2026,05/04/2026
Q4,IA,V1 du RPG de la vie,800,Terminée,Secondaire,05/04/2026,05/04/2026
Q5,LOG,V1 du RPG de la vie,1200,Terminée,Secondaire,05/04/2026,05/04/2026
Q6,UI/,V1 du RPG de la vie,1000,Terminée,Secondaire,05/04/2026,05/04/2026
Q7,VMA,2 série de 10 x 30/30,100,Terminée,Secondaire,05/04/2026,05/04/2026
Q8,HYP,Push Up 5x10,80,Terminée,Secondaire,06/04/2026,08/04/2026
Q9,MOT,Jingle (Programmation2),100,Terminée,Secondaire,06/04/2026,06/04/2026
Q10,MON,Montage (Programmation 2),300,En cours,Principale,06/04/2026,
Q11,GRA,Minia (Programmation 2),150,Terminée,Secondaire,06/04/2026,09/04/2026
Q12,NAR,Écriture (Program. 2),200,Terminée,Secondaire,06/04/2026,06/04/2026
Q13,END,boxe,100,Terminée,Secondaire,06/04/2026,07/04/2026
Q14,VMA,Fractionné (avec la montre),100,Terminée,Secondaire,08/04/2026,12/04/2026
Q15,HYP,Lockin Sport,0,En cours,Secondaire,09/04/2026,
Q16,MOT,Animation LIACOM,400,Terminée,Secondaire,11/04/2026,11/04/2026
Q17,MUS,Séance Boxe,100,Terminée,Secondaire,11/04/2026,11/04/2026
Q18,VMA,Séance Fractionné,150,En cours,Secondaire,12/04/2026,
Q19,LOG,documenter l'app,50,Terminée,Secondaire,13/04/2026,13/04/2026
Q20,SYN,documenter l'app,50,Terminée,Secondaire,13/04/2026,13/04/2026
Q21,MAN,documenter l'app,50,Terminée,Secondaire,13/04/2026,13/04/2026
